bill_id	bill_type	congress	introduced_at	bill_number	sponsor_SGID
hr7175-115	hr	115	2018-11-27	7175	1924
hr7144-115	hr	115	2018-11-16	7144	1822
hr3784-115	hr	115	2017-09-14	3784	1901
hr1748-115	hr	115	2017-03-28	1748	1043
hr5257-115	hr	115	2018-03-13	5257	1903
hr2426-115	hr	115	2017-05-16	2426	1449
hr6243-115	hr	115	2018-06-27	6243	1904
hr1013-115	hr	115	2017-02-13	1013	1850
hr1031-115	hr	115	2017-02-14	1031	1978
hr989-115	hr	115	2017-02-09	989	1493
hr2540-115	hr	115	2017-05-18	2540	872
hr1277-115	hr	115	2017-03-01	1277	1499
hr5019-115	hr	115	2018-02-14	5019	1954
hr2161-115	hr	115	2017-04-26	2161	1899
hr6720-115	hr	115	2018-09-06	6720	1566
hr4695-115	hr	115	2017-12-20	4695	1665
hr2796-115	hr	115	2017-06-07	2796	1670
hr560-115	hr	115	2017-01-13	560	1756
hr630-115	hr	115	2017-01-24	630	1605
hr2291-115	hr	115	2017-05-02	2291	1775
hr1228-115	hr	115	2017-02-27	1228	1648
hr5945-115	hr	115	2018-05-23	5945	1550
hr1778-115	hr	115	2017-03-29	1778	1892
hr6739-115	hr	115	2018-09-07	6739	1695
hr2099-115	hr	115	2017-04-14	2099	1800
hr1757-115	hr	115	2017-03-28	1757	1295
hr1667-115	hr	115	2017-03-22	1667	1756
hr2821-115	hr	115	2017-06-07	2821	1431
hr4945-115	hr	115	2018-02-06	4945	1817
hr732-115	hr	115	2017-01-30	732	450
hr2890-115	hr	115	2017-06-13	2890	1718
hr4160-115	hr	115	2017-10-26	4160	1212
hr3751-115	hr	115	2017-09-12	3751	1829
hr4463-115	hr	115	2017-11-28	4463	1191
hr1415-115	hr	115	2017-03-07	1415	1078
hr4042-115	hr	115	2017-10-12	4042	1989
hr5630-115	hr	115	2018-04-26	5630	1758
hr1221-115	hr	115	2017-02-27	1221	1532
hr6780-115	hr	115	2018-09-12	6780	1565
hr1453-115	hr	115	2017-03-09	1453	1569
hr6200-115	hr	115	2018-06-22	6200	604
hr5067-115	hr	115	2018-02-16	5067	1790
hr2153-115	hr	115	2017-04-26	2153	1845
hr6345-115	hr	115	2018-07-12	6345	1489
hr2025-115	hr	115	2017-04-06	2025	1773
hr2299-115	hr	115	2017-05-02	2299	1994
hr2232-115	hr	115	2017-04-28	2232	989
hr6335-115	hr	115	2018-07-11	6335	1804
hr3140-115	hr	115	2017-06-29	3140	1379
hr1273-115	hr	115	2017-03-01	1273	1968
hr1549-115	hr	115	2017-03-15	1549	1561
hr2325-115	hr	115	2017-05-03	2325	231
hr1668-115	hr	115	2017-03-22	1668	1930
hr291-115	hr	115	2017-01-04	291	1805
hr1555-115	hr	115	2017-03-15	1555	1582
hr6755-115	hr	115	2018-09-10	6755	1408
hr2046-115	hr	115	2017-04-06	2046	1654
hr6790-115	hr	115	2018-09-12	6790	1964
hr6592-115	hr	115	2018-07-26	6592	1902
hr3588-115	hr	115	2017-07-28	3588	1924
hr2649-115	hr	115	2017-05-24	2649	1999
hr3487-115	hr	115	2017-07-27	3487	1475
hr3914-115	hr	115	2017-10-03	3914	1909
hr4717-115	hr	115	2017-12-21	4717	1692
hr3998-115	hr	115	2017-10-10	3998	2004
hr1070-115	hr	115	2017-02-15	1070	166
hr3357-115	hr	115	2017-07-24	3357	1212
hr923-115	hr	115	2017-02-07	923	1732
hr2991-115	hr	115	2017-06-21	2991	1988
hr3897-115	hr	115	2017-10-02	3897	1875
hr1155-115	hr	115	2017-02-16	1155	1637
hr4553-115	hr	115	2017-12-05	4553	1917
hr4024-115	hr	115	2017-10-11	4024	1615
hr1476-115	hr	115	2017-03-09	1476	1963
hr1648-115	hr	115	2017-03-21	1648	1591
